permission,module,action,scope,source,inferred
clients.view,clients,index/show,global,avocatapp/routes/api.php:96-107,yes
clients.create,clients,store,global,avocatapp/routes/api.php:96-107,yes
clients.update,clients,update,global,avocatapp/routes/api.php:96-107,yes
clients.delete,clients,destroy,global,avocatapp/routes/api.php:96-107,yes
unclients.view,unclients,index/show,global,avocatapp/routes/api.php:96-107,yes
unclients.create,unclients,store,global,avocatapp/routes/api.php:96-107,yes
unclients.update,unclients,update,global,avocatapp/routes/api.php:96-107,yes
unclients.delete,unclients,destroy,global,avocatapp/routes/api.php:96-107,yes
lawyers.view,lawyers,index/show,global,avocatapp/routes/api.php:96-124,yes
lawyers.create,lawyers,store,global,avocatapp/routes/api.php:96-107,yes
lawyers.update,lawyers,update,global,avocatapp/routes/api.php:96-124,yes
lawyers.delete,lawyers,destroy,global,avocatapp/routes/api.php:96-124,yes
courts.view,courts,index/show,global,avocatapp/routes/api.php:96-107,yes
courts.create,courts,store,global,avocatapp/routes/api.php:96-107,yes
courts.update,courts,update,global,avocatapp/routes/api.php:96-107,yes
courts.delete,courts,destroy,global,avocatapp/routes/api.php:96-107,yes
court_types.view,court_types,index/show,global,avocatapp/routes/api.php:96-104,yes
court_types.create,court_types,store,global,avocatapp/routes/api.php:96-104,yes
court_types.update,court_types,update,global,avocatapp/routes/api.php:96-104,yes
court_types.delete,court_types,destroy,global,avocatapp/routes/api.php:96-104,yes
court_levels.view,court_levels,index/show,global,avocatapp/routes/api.php:99-104,yes
court_levels.create,court_levels,store,global,avocatapp/routes/api.php:99-104,yes
court_levels.update,court_levels,update,global,avocatapp/routes/api.php:99-104,yes
court_levels.delete,court_levels,destroy,global,avocatapp/routes/api.php:99-104,yes
legal_cases.view,legal_cases,index/show,global,avocatapp/routes/api.php:100-105,yes
legal_cases.create,legal_cases,store,global,avocatapp/routes/api.php:100-105,yes
legal_cases.update,legal_cases,update,global,avocatapp/routes/api.php:100-105,yes
legal_cases.delete,legal_cases,destroy,global,avocatapp/routes/api.php:100-105,yes
case_types.view,case_types,index/show,global,avocatapp/routes/api.php:101-106,yes
case_types.create,case_types,store,global,avocatapp/routes/api.php:101-106,yes
case_types.update,case_types,update,global,avocatapp/routes/api.php:101-106,yes
case_types.delete,case_types,destroy,global,avocatapp/routes/api.php:101-106,yes
case_sub_types.view,case_sub_types,index/show,global,avocatapp/routes/api.php:101-106,yes
case_sub_types.create,case_sub_types,store,global,avocatapp/routes/api.php:101-106,yes
case_sub_types.update,case_sub_types,update,global,avocatapp/routes/api.php:101-106,yes
case_sub_types.delete,case_sub_types,destroy,global,avocatapp/routes/api.php:101-106,yes
procedure_types.view,procedure_types,index/show,global,avocatapp/routes/api.php:102-106,yes
procedure_types.create,procedure_types,store,global,avocatapp/routes/api.php:102-106,yes
procedure_types.update,procedure_types,update,global,avocatapp/routes/api.php:102-106,yes
procedure_types.delete,procedure_types,destroy,global,avocatapp/routes/api.php:102-106,yes
procedure_place_types.view,procedure_place_types,index/show,global,avocatapp/routes/api.php:102-106,yes
procedure_place_types.create,procedure_place_types,store,global,avocatapp/routes/api.php:102-106,yes
procedure_place_types.update,procedure_place_types,update,global,avocatapp/routes/api.php:102-106,yes
procedure_place_types.delete,procedure_place_types,destroy,global,avocatapp/routes/api.php:102-106,yes
expense_categories.view,expense_categories,index/show,global,avocatapp/routes/api.php:103-107,yes
