File Path,Type,Responsibility,Imported by,Imports,Reachable from entry/router,Status
package.json,config,root-config,,,No,Unused candidate
src/app/App.tsx,ui/logic,app,src/main.tsx,src/app/routes/AuthRoutes.jsx; src/features/auth/pages/Login.jsx; src/features/auth/pages/Signup.jsx; src/features/dashboard/pages/DashboardPage.jsx; src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx; src/shared/contexts/AuthContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/contexts/SidebarContext.jsx; src/shared/contexts/SpinnerContext.jsx; src/shared/contexts/ThemeContext.jsx,Yes,Active
src/app/reducers/clientsReducer.jsx,ui/logic,app,,src/shared/services/api/clients.js,No,Unused candidate
src/app/routes/AuthRoutes.jsx,ui/logic,app,src/app/App.tsx,src/features/admin/pages/AdminAccessManagementPage.jsx; src/features/admin/pages/QaRbacPage.jsx; src/features/clients/pages/ClientUnClientList.jsx; src/features/courts/components/Courts/case_index.component.jsx; src/features/courts/pages/SearchCourtsApi.jsx; src/features/dashboard/components/dashboard/Dashboard.jsx; src/features/documents/pages/DocumentsHubPage.jsx; src/features/finance/pages/CaseFinanceSummaryPage.jsx; src/features/finance/pages/CreateTransactionPage.jsx; src/features/finance/pages/FinanceLedgerPage.jsx; src/features/icons-gallery/pages/IconsGalleryPage.tsx; src/features/lawyers/pages/LawyerList.jsx; src/features/legal-cases/components/LegalCases/LegalCaseDetails.jsx; src/features/legal-cases/pages/LegalCaseList.jsx; src/features/legal-services/pages/LegalServicList.jsx; src/features/power-of-attorneys/pages/PowerOfAttorneyPage.jsx; src/features/reports/components/Reports/SearchCourt.jsx; src/features/reports/pages/CasesReport.jsx; src/features/reports/pages/ClientsReport.jsx; src/features/reports/pages/ProceduresReport.jsx; src/features/reports/pages/ReportsIndex.jsx; src/features/reports/pages/ReportsOverview.jsx; src/features/reports/pages/ServicesReport.jsx; src/features/reports/pages/SessionsReport.jsx; src/features/settings/components/Settings/ProfileUser.jsx; src/features/settings/pages/ManagmentSettings.jsx; src/features/ui-qa/pages/UiQaPage.jsx; src/shared/components/common/Spinners/GlobalSpinner.jsx; src/shared/contexts/SpinnerContext.jsx; src/shared/security/PermissionGuard.tsx; src/shared/security/permission-map.ts,Yes,Active
src/app/store/clientsSlice.js,ui/logic,app,src/app/store/store.js; src/features/clients/components/ClientsAndUnClients/clients/index.jsx; src/features/dashboard/components/dashboard/Dashboard.jsx,src/shared/services/api/clients.js,Yes,Active
src/app/store/store.js,ui/logic,app,src/main.tsx,src/app/store/clientsSlice.js,Yes,Active
src/assets/fonts/helvetiker_regular.typeface.json,ui/logic,assets,,,No,Unused candidate
src/assets/icons/index.js,ui/logic,assets,src/features/courts/components/Courts/case_index.component.jsx; src/features/courts/components/Courts/court_index.component.jsx; src/features/lawyers/components/Lawyers/lawyerAddEdit.jsx; src/features/lawyers/pages/LawyerList.jsx; src/features/legal-cases/pages/LegalCaseList.jsx; src/features/legal-services/pages/LegalServicList.jsx; src/features/procedures/components/Procedures/ProcedurePlaceTypes.jsx; src/features/procedures/components/Procedures/ProcedureTypes.jsx; src/features/procedures/pages/ProceduresList.jsx; src/features/settings/components/Settings/LegcaseTypes.jsx,,Yes,Refactor needed
src/assets/images/index.js,ui/logic,assets,src/features/dashboard/components/dashboard/Sidebar.jsx; src/features/home/components/HomeFooter.tsx; src/features/home/components/HomeHeader.tsx; src/shared/components/common/GlobalLogo.jsx; src/shared/components/common/Spinners/AuthSpinner.jsx,,Yes,Refactor needed
src/assets/styles/additional-styles/flatpickr.css,style,assets,,,No,Unused candidate
src/assets/styles/additional-styles/utility-patterns.css,style,assets,,,No,Unused candidate
src/assets/styles/style.css,style,assets,,,No,Unused candidate
src/assets/utils/Tools.jsx,ui/logic,assets,,,No,Unused candidate
src/config/config.jsx,config,config,src/shared/api/axiosConfig.ts; src/shared/services/api/axiosConfig.js,,Yes,Active
src/config/iconography.ts,config,config,src/shared/components/common/LegalIcon.tsx,src/shared/icons/legal/LegalIcons.tsx,No,Suspicious
src/config/sidebar.js,config,config,src/shared/layout/HeaderTabs.jsx; src/shared/layout/MobileDrawer.jsx,src/shared/security/permission-map.ts,Yes,Active
src/config/theme-tokens.ts,config,config,,,No,Unused candidate
src/features/admin/components/RolePermissionsModal.jsx,ui/logic,features,src/features/admin/pages/AdminAccessManagementPage.jsx,src/features/admin/constants/permissionsCatalog.js; src/shared/components/common/GlobalModal.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/icons/lexicraft/index.tsx,Yes,Active
src/features/admin/constants/permissionsCatalog.js,ui/logic,features,src/features/admin/components/RolePermissionsModal.jsx,,Yes,Active
src/features/admin/pages/AdminAccessManagementPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/features/admin/components/RolePermissionsModal.jsx; src/shared/api/rbac/client.ts; src/shared/components/common/GlobalConfirmDeleteModal.jsx; src/shared/components/common/GlobalModal.jsx; src/shared/components/common/TableComponent.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/icons/lexicraft/index.tsx; src/shared/security/ForbiddenState.jsx; src/shared/security/SecurityContext.tsx; src/shared/security/permissions.ts,Yes,Active
src/features/admin/pages/QaRbacPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/api/rbac/client.ts; src/shared/contexts/LanguageContext.jsx; src/shared/security/SecurityContext.tsx; src/shared/security/permission-map.ts; src/shared/security/permissions.ts,Yes,Active
src/features/auth/components/AuthUser.jsx,ui/logic,features,src/features/auth/components/Login.jsx; src/features/auth/components/Register.jsx; src/features/auth/pages/Signup.jsx; src/features/legal-cases/components/LegalCases/AddEditLegCase.jsx; src/features/legal-cases/components/LegalCases/LegalCaseTools/Modals/LegalAdModal.jsx; src/features/legal-cases/components/LegalCases/LegalCaseTools/Modals/ProcedureModal.jsx; src/features/legal-cases/components/LegalCases/LegalCaseTools/Modals/SessionModal.jsx; src/features/legal-services/components/LegalServices/AddEditServiceModal.jsx; src/features/legal-services/components/LegalServices/Procedures/AddEditServiceProcedureModal.jsx; src/features/legal-services/components/LegalServices/ServiceDetailsModal.jsx; src/features/power-of-attorneys/pages/PowerOfAttorneyPage.jsx; src/shared/components/common/DropdownProfile.jsx; src/shared/services/api/courts.js,src/shared/contexts/AuthContext.jsx,Yes,Active
src/features/auth/components/Login.jsx,ui/logic,features,,src/features/auth/components/AuthUser.jsx,No,Duplicate
src/features/auth/components/Register.jsx,ui/logic,features,,src/features/auth/components/AuthUser.jsx,No,Unused candidate
